Type,Question,Options,Answer,Chunk_ID,QA_ID
MCQ,What symbol is used to represent a list in Python?,{};[];();<>,[],SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q167
True/False,Strings in Python are mutable.,True;False,FALSE,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q168
True/False,Lists in Python can contain duplicate members.,True;False,TRUE,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q169
Blanks,"We can use negative index to access elements from end of the list, it always starts with __",,-1,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q170
Blanks,"We can use range (:) operator to access range of elements from the list, with specified __",,step,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q171
Match,len(),"To add an item at the end;The len() method returns the length of a set;To remove the specified item;To remove the specified index, (or the last item if index is not specified);To add an item at the specified index",The len() method returns the length of a set,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q172
Match,append(),"The len() method returns the length of a set;To remove the specified item;To add an item at the specified index;To add an item at the end;To remove the specified index, (or the last item if index is not specified)",To add an item at the end,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q173
Match,insert(),"To add an item at the end;To add an item at the specified index;To remove the specified item;To remove the specified index, (or the last item if index is not specified);The len() method returns the length of a set",To add an item at the specified index,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q174
Match,remove(),"The len() method returns the length of a set;To add an item at the specified index;To remove the specified item;To add an item at the end;To remove the specified index, (or the last item if index is not specified)",To remove the specified item,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q175
Match,pop(),"To remove the specified item;To remove the specified index, (or the last item if index is not specified);The len() method returns the length of a set;To add an item at the end;To add an item at the specified index","To remove the specified index, (or the last item if index is not specified)",SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q176
MCQ,Which of the following is not a list method?,insert();len();remove();append(),['remove()'],SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q177
MCQ,"What is the output of the following code snippet?

python
nos = [1, 2, 3, 4, 5, 6, 7, 8, 9]
print(nos[1:9:2])
","[1, 2, 3, 5];[1, 3, 5, 7];[1, 2, 4, 6];[2, 4, 6, 8]","['[2, 4, 6, 8]']",SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q178
True/False,Negative index in a list starts from -1.,True;False,TRUE,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q179
True/False,The range (:) operator in a list can only be used to access a single element.,True;False,FALSE,SA_P1_M1_Ch03_Pg052_1,SA_P1_M1_Q180
Blanks,The ________ keyword can be used to delete a specific element from a list by its index or clear the list completely.,,del,SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q181
Blanks,The ________ method appends the elements from a sequence to an existing list.,,extend(),SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q182
Blanks,"To find the index of a particular element in a tuple, the ________ method can be utilized.",,index(),SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q183
Match,Tuple,"Collection of ordered, indexed, and changeable elements;Collection of ordered, indexed, and unchangeable elements","Collection of ordered, indexed, and unchangeable elements",SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q184
Match,List,"Collection of ordered, indexed, and unchangeable elements;Collection of ordered, indexed, and changeable elements","Collection of ordered, indexed, and changeable elements",SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q185
MCQ,Which of the following is a correct way to create a tuple?,my_tuple = ();my_tuple = set();my_tuple = {};my_tuple =,my_tuple = (),SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q186
MCQ,Tuples are considered:,Dynamic;Immutable;Neither mutable nor immutable;Mutable,Immutable,SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q187
True/False,List and tuple data types in Python have the same properties.,True;False,FALSE,SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q188
True/False,Tuples can contain duplicate elements.,True;False,TRUE,SA_P1_M1_Ch03_Pg054_1,SA_P1_M1_Q189
,,,,SA_P1_M1_Ch03_Pg056_1,SA_P1_M1_Q190
Blanks,"Sets are unordered, so you cannot access items in a set by referring to an ___________.",,index,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q191
Blanks,"To add one item to a set, use the ___________ method.",,add(),SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q192
Blanks,"To remove a specific item from a set, use the ___________ method.",,remove(),SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q193
Match,add(),Adds one item to a set;Removes a specified item from a set;Adds multiple items to a set;Removes any item from a set,Adds one item to a set,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q194
Match,update(),Removes a specified item from a set;Adds multiple items to a set;Removes any item from a set;Adds one item to a set,Adds multiple items to a set,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q195
Match,remove(),Removes a specified item from a set;Adds one item to a set;Removes any item from a set;Adds multiple items to a set,Removes a specified item from a set,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q196
Match,pop(),Adds multiple items to a set;Removes any item from a set;Adds one item to a set;Removes a specified item from a set,Removes any item from a set,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q197
MCQ,Which of the following is NOT a property of sets in Python?,Sets can be indexed;Sets are unordered;Sets can be modified;Sets can contain duplicate items,Sets can contain duplicate items,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q198
MCQ,Which method is used to loop through the items in a set?,foreach loop;while loop;map() function;for loop,['for loop'],SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q199
MCQ,Which method removes an arbitrary item from a set?,del;discard();remove();pop(),['pop()'],SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q200
True/False,Sets are ordered collections of unique items.,True;False,FALSE,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q201
True/False,You can add multiple items to a set using the update() method.,True;False,TRUE,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q202
True/False,The remove() method removes the first occurrence of an item from a set.,True;False,TRUE,SA_P1_M1_Ch03_Pg058_1,SA_P1_M1_Q203
MCQ,"Which of the following set operation returns a set that contains the items that only exist in set x, and not in set y?",symmetric_difference();difference();intersection();union(),difference(),SA_P1_M1_Ch03_Pg060_1,SA_P1_M1_Q204
Blanks,The ______ method determines how many items a dictionary has.,,len(),SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q205
Blanks,The ______ method removes the item with the specified key name.,,pop(),SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q206
Blanks,The ______ method removes the last inserted item.,,popitem(),SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q207
Blanks,The ______ method empties the dictionary.,,clear(),SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q208
Match,len(),Removes the last inserted item;Removes the item with the specified key name;Empties the dictionary;Determines how many items a dictionary has,Determines how many items a dictionary has,SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q209
Match,pop(),Removes the last inserted item;Removes the item with the specified key name;Determines how many items a dictionary has;Empties the dictionary,Removes the item with the specified key name,SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q210
Match,popitem(),Empties the dictionary;Removes the item with the specified key name;Determines how many items a dictionary has;Removes the last inserted item,Removes the last inserted item,SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q211
Match,clear(),Removes the item with the specified key name;Determines how many items a dictionary has;Removes the last inserted item;Empties the dictionary,Empties the dictionary,SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q212
MCQ,Which method is used to remove the last inserted item from a dictionary?,len();pop();clear();popitem(),popitem(),SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q213
MCQ,Which method is used to determine the number of items in a dictionary?,pop();clear();popitem();len(),len(),SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q214
True/False,The pop() method removes the first inserted item from a dictionary.,True;False,FALSE,SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q215
True/False,The clear() method empties a dictionary.,True;False,TRUE,SA_P1_M1_Ch03_Pg062_1,SA_P1_M1_Q216
Blanks,The statements under if clause are only executed if the condition prescribed becomes__________,,TRUE,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q217
Blanks,The block of code under the if statements are executed if the condition given for if becomes__________,,TRUE,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q218
Blanks,There could be at most one else statement followed by the if statement and is executed when the if condition is________,,FALSE,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q219
Match,If statement,"Executes a block of code if a specified condition is true, otherwise executes a different block of code;Allows for multiple conditions to be checked sequentially;Executes a block of code only if a specified condition is true",Executes a block of code only if a specified condition is true,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q220
Match,If-else statement,"Executes a block of code if a specified condition is true, otherwise executes a different block of code;Executes a block of code only if a specified condition is true;Allows for multiple conditions to be checked sequentially","Executes a block of code if a specified condition is true, otherwise executes a different block of code",SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q221
Match,If-elif-elif-else statement,"Executes a block of code only if a specified condition is true;Allows for multiple conditions to be checked sequentially;Executes a block of code if a specified condition is true, otherwise executes a different block of code",Allows for multiple conditions to be checked sequentially,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q222
MCQ,Which of the following values is considered true in the context of conditional statements?,1;3;0;2,"['1', '2', '3']",SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q223
MCQ,Which of the following is the correct syntax for an if statement?,if (condition):;if (condition);if condition:;if (condition) then,['if (condition):'],SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q224
MCQ,Which of the following statements is executed if the condition in an if-else statement is false?,None of the statements;The else statements;The if statements;Both the if and else statements,['The else statements'],SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q225
True/False,The if-else statement can have multiple else statements.,True;False,FALSE,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q226
True/False,The if-elif-elif-else statement allows for only two conditions to be checked.,True;False,FALSE,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q227
True/False,Conditional statements are used to control the flow of execution in a program.,True;False,TRUE,SA_P1_M1_Ch04_Pg064_1,SA_P1_M1_Q228
Blanks,The ______ statement allows you to check multiple expressions for TRUE and execute a block of code as soon as one of the conditions evaluates to TRUE.,,elif,SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q229
Blanks,"Unlike ______, for which there can be at most one statement, there can be an arbitrary number of ______ statements following an ______ statement.",,"['else', 'elif', 'if']",SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q230
Match,if statement,Allows you to check multiple expressions for TRUE and execute a block of code if one evaluates to TRUE.;Allows you to execute a block of code if the condition in the if statement is met.;Allows you to execute a block of code if the condition in the if statement is not met.,Allows you to execute a block of code if the condition in the if statement is met.,SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q231
Match,elif statement,Allows you to execute a block of code if the condition in the if statement is met.;Allows you to execute a block of code if the condition in the if statement is not met.;Allows you to check multiple expressions for TRUE and execute a block of code if one evaluates to TRUE.,Allows you to check multiple expressions for TRUE and execute a block of code if one evaluates to TRUE.,SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q232
Match,else statement,Allows you to execute a block of code if the condition in the if statement is met.;Allows you to execute a block of code if the condition in the if statement is not met.;Allows you to check multiple expressions for TRUE and execute a block of code if one evaluates to TRUE.,Allows you to execute a block of code if the condition in the if statement is not met.,SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q233
MCQ,Which of the following is the correct syntax for an if-elif-else statement?,"if expression:
statement(s)
elif expression:
statement(s);if expression1:
statement(s)
elif expression2:
statement(s)
else:
statement(s);if expression:
statement(s)
else:
statement(s)","if expression1:
statement(s)
elif expression2:
statement(s)
else:
statement(s)",SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q234
MCQ,How many elif statements can follow an if statement?,0;Any number;1,Any number,SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q235
True/False,The else statement is required in an if-elif-else statement.,True;False,FALSE,SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q236
True/False,The elif statement can only check one expression for TRUE.,True;False,FALSE,SA_P1_M1_Ch04_Pg068_1,SA_P1_M1_Q237
Blanks,The statements under the while loop are executed until the ___________ remains true.,,condition,SA_P1_M1_Ch05_Pg070_1,SA_P1_M1_Q238
Blanks,The __________ function is used for iterating over a sequence.,,for,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q239
Blanks,The __________ statement is used to exit from the loop in between.,,Break,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q240
Blanks,The __________ statement skips only one iteration.,,Continue,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q241
Match,for,Used for iterating over a sequence;Used to exit from the loop in between;Returns a sequence of numbers;Skips only one iteration,Used for iterating over a sequence,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q242
Match,Break,Skips only one iteration;Used to exit from the loop in between;Used for iterating over a sequence;Returns a sequence of numbers,Used to exit from the loop in between,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q243
Match,Continue,Returns a sequence of numbers;Skips only one iteration;Used to exit from the loop in between;Used for iterating over a sequence,Skips only one iteration,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q244
Match,range(),Returns a sequence of numbers;Used to exit from the loop in between;Skips only one iteration;Used for iterating over a sequence,Returns a sequence of numbers,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q245
MCQ,Which of the following is used to iterate over a list?,while;if;for;break,for,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q246
MCQ,What is the default starting value of the range() function?,2;1;0;3,0,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q247
MCQ,Which statement is used to skip only one iteration in a loop?,return;continue;break;exit,continue,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q248
True/False,The range() function can only return a sequence of even numbers.,True;False,FALSE,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q249
True/False,The break statement can be used to exit from a while loop.,True;False,TRUE,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q250
True/False,The continue statement can be used to exit from a for loop.,True;False,FALSE,SA_P1_M1_Ch05_Pg073_1,SA_P1_M1_Q251
Blanks,"Functions are blocks of code with a ____, which can perform a task.",,name,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q252
Blanks,User-defined functions can be defined by the ____ for their project.,,user,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q253
Blanks,The ____ syntax is used to declare a function.,,def,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q254
Blanks,The ____ keyword is used to return a value from a function.,,return,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q255
Match,Function,A block of code with a name that can perform a task;A function that is defined by the user for their project;A function that is predefined in the Python language,A block of code with a name that can perform a task,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q256
Match,Built-in function,A function that is defined by the user for their project;A block of code with a name that can perform a task;A function that is predefined in the Python language,A function that is predefined in the Python language,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q257
Match,User-defined function,A function that is predefined in the Python language;A function that is defined by the user for their project;A block of code with a name that can perform a task,A function that is defined by the user for their project,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q258
MCQ,Which of the following is NOT a function type in Python?,User-defined function;Module function;Class method;Built-in function,Module function,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q259
MCQ,What is the purpose of using functions?,Error handling;Data manipulation;Code reuse and modular programming;Input/output operations,['Code reuse and modular programming'],SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q260
MCQ,Which of the following is the correct syntax to declare a function in Python?,def fun_name(params):;def fun_name params:;fun_name = def(params):;fun_name def params:,['def fun_name(params):'],SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q261
True/False,Functions can only return a single value.,True;False,FALSE,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q262
True/False,User-defined functions are always executed before built-in functions.,True;False,FALSE,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q263
True/False,The 'return' statement is used to terminate the execution of a function.,True;False,TRUE,SA_P1_M1_Ch06_Pg076_1,SA_P1_M1_Q264
MCQ,What are variables inside function declaration called?,Parameters;Variables;Arguments;Constants,Parameters,SA_P1_M1_Ch06_Pg079_1,SA_P1_M1_Q265
MCQ,What are variables inside function call called?,Parameters;Variables;Constants;Arguments,Arguments,SA_P1_M1_Ch06_Pg079_1,SA_P1_M1_Q266
Blanks,"The function ""add"" with keyword arguments has __ parameters: ""a"", ""b"", and ""c"".",,three,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q267
Blanks,Keyword arguments allow you to pass arguments to a function in __ order.,,any,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q268
Blanks,"The ""add"" function with default arguments has __ default values: 0 for ""a"", ""b"", and ""c"".",,three,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q269
Blanks,Variable length arguments are denoted using __ in a function definition.,,*args,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q270
Blanks,"The ""display_all"" function with variable length arguments treats *args as a __.",,tuple,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q271
Match,Keyword arguments,Arguments that can be passed to a function with a variable number of values;Arguments that can be passed to a function in any order;Arguments that can be passed to a function with default values,Arguments that can be passed to a function in any order,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q272
Match,Default arguments,Arguments that can be passed to a function with a variable number of values;Arguments that can be passed to a function in any order;Arguments that can be passed to a function with default values,Arguments that can be passed to a function with default values,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q273
Match,Variable length arguments,Arguments that can be passed to a function with a variable number of values;Arguments that can be passed to a function in any order;Arguments that can be passed to a function with default values,Arguments that can be passed to a function with a variable number of values,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q274
MCQ,"Which of the following is NOT a parameter of the ""add"" function with keyword arguments?",a;b;c;d,d,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q275
MCQ,"What is the default value of the ""c"" parameter in the ""add"" function with default arguments?",0;Error;None;1,0,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q276
MCQ,"Which of the following calls to the ""display_all"" function will print ""10 20 30""?","display_all((10, 20, 30));display_all({10, 20, 30});display_all(10, 20, 30);display_all([10, 20, 30])","display_all(10, 20, 30)",SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q277
True/False,Keyword arguments must be passed to a function in the same order as they are defined.,True;False,FALSE,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q278
True/False,Default arguments can only be used if all other parameters are also provided.,True;False,FALSE,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q279
True/False,Variable length arguments can be used with both keyword and default arguments.,True;False,TRUE,SA_P1_M1_Ch06_Pg083_1,SA_P1_M1_Q280
Blanks,The **kwargs parameter is treated as a ________.,,['dictionary'],SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q281
Blanks,The function __________ can be used to assign the function call to a variable to hold the returned value from the function.,,['add'],SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q282
Match,**kwargs,Value that is returned by a function;Dictionary that contains the variable-length keyword arguments,Dictionary that contains the variable-length keyword arguments,SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q283
Match,return value,Value that is returned by a function;Dictionary that contains the variable-length keyword arguments,Value that is returned by a function,SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q284
MCQ,Which of the following is the correct syntax to create a function with variable-length keyword arguments?,def display_all(kwargs);def display_all(**kwargs),['def display_all(**kwargs)'],SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q285
MCQ,What is the purpose of the return statement in a function?,To return a value from the function;To terminate the execution of the function,['To return a value from the function'],SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q286
True/False,The **kwargs parameter is only available in Python 3.,True;False,FALSE,SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q287
True/False,A function can return multiple values.,True;False,FALSE,SA_P1_M1_Ch06_Pg086_1,SA_P1_M1_Q288
Blanks,"Functions defined without a name, are known as _____ functions.",,['Anonymous'],SA_P1_M1_Ch06_Pg088_1,SA_P1_M1_Q289
Blanks,The keyword used to define anonymous functions is _____ .,,['lambda'],SA_P1_M1_Ch06_Pg088_1,SA_P1_M1_Q290
Blanks,A lambda function can have only one _____ .,,['expression'],SA_P1_M1_Ch06_Pg088_1,SA_P1_M1_Q291
Match,Lambda function,A function defined without a name.;A function that takes any number of arguments.,A function that takes any number of arguments.,SA_P1_M1_Ch06_Pg088_1,SA_P1_M1_Q292
Match,Anonymous function,A function defined without a name.;A function that takes any number of arguments.,A function defined without a name.,SA_P1_M1_Ch06_Pg088_1,SA_P1_M1_Q293
True/False,Lambda functions can have multiple expressions.,True;False,FALSE,SA_P1_M1_Ch06_Pg088_1,SA_P1_M1_Q294
True/False,Anonymous functions are defined using the 'lambda' keyword.,True;False,TRUE,SA_P1_M1_Ch06_Pg088_1,SA_P1_M1_Q295
Blanks,"Any real world entity is called an _____ such as Employee, Student, Book and more",,object,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q296
Blanks, In programming terms a class is a user defined data type which contains related variable(_____) and methods(_____) together,,"['attributes', 'functionalities']",SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q297
Blanks, The main advantage of classes and objects is _____ programming and code _____,,"['object centric', 'reuse']",SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q298
Match,Class,A variable within a class;A blueprint of an object;A function within a class;A real world entity,A blueprint of an object,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q299
Match,Object,A real world entity;A blueprint of an object;A variable within a class;A function within a class,A real world entity,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q300
Match,Attribute,A function within a class;A blueprint of an object;A variable within a class;A real world entity,A variable within a class,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q301
Match,Method,A real world entity;A variable within a class;A function within a class;A blueprint of an object,A function within a class,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q302
MCQ,Which of the following is NOT an advantage of object-oriented programming?,Modularity;Code reuse;Encapsulation;Increased complexity,Increased complexity,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q303
MCQ,What is the purpose of the self parameter in a method?,To return the result of the method;To define the type of the object;To pass arguments to the method;To refer to the current object,To refer to the current object,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q304
True/False,Classes and objects are the same thing.,True;False,FALSE,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q305
True/False,"In Python, the class name must start with a lowercase letter.",True;False,FALSE,SA_P1_M1_Ch07_Pg090_1,SA_P1_M1_Q306
Blanks,"To create an object, we use the syntax _________________",,obj_var = class_name(),SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q307
Blanks,The ________________ method is called automatically when an object is created.,,__init__(),SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q308
Match,class,A blueprint for creating objects;Special method for initializing properties while creating an object;Instance of a class,A blueprint for creating objects,SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q309
Match,object,Instance of a class;A blueprint for creating objects;Special method for initializing properties while creating an object,Instance of a class,SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q310
Match,initializer,Special method for initializing properties while creating an object;Instance of a class;A blueprint for creating objects,Special method for initializing properties while creating an object,SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q311
MCQ,Which of the following is the correct syntax for creating an object in Python?,obj_var = class_name();obj_var = class_name.;obj_var = Class_name,obj_var = class_name(),SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q312
MCQ,What is the purpose of an initializer method in Python?,To define the behavior of an object;To set initial values for object properties;To check if an object is valid,To set initial values for object properties,SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q313
True/False,Objects are created using the __init__() method.,True;False,FALSE,SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q314
True/False,Initializers can only be defined once in a class.,True;False,TRUE,SA_P1_M1_Ch07_Pg093_1,SA_P1_M1_Q315
Blanks,Inheritance is used to _____________ properties from existing class to the new class.,,['Extending'],SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q316
Blanks,The main use of inheritance is _____________,,['code reuse'],SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q317
Blanks,Three types of inheritance are: _____________,,"['Simple', 'Hierarchical', 'Multilevel']",SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q318
Blanks,One benefit of inheritance is _____________,,['Less code repetition'],SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q319
Match,Inheritance,A class inherits from a single parent class.;A class inherits from multiple parent classes.;Extending properties from existing class to the new class,Extending properties from existing class to the new class,SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q320
Match,Simple,A class inherits from a single parent class.;Extending properties from existing class to the new class;A class inherits from multiple parent classes.,A class inherits from a single parent class.,SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q321
Match,Hierarchical,A class inherits from multiple parent classes.;Extending properties from existing class to the new class;A class inherits from a single parent class.,A class inherits from multiple parent classes.,SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q322
MCQ,Which of the following is NOT a type of inheritance?,Polymorphism;Hierarchical;Simple;Multilevel,['Polymorphism'],SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q323
MCQ,What is a benefit of Python inheritance?,All of the above;Structured code;Code reuse;Scalability,['All of the above'],SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q324
True/False,Inheritance is a way to create new classes without any existing classes.,True;False,FALSE,SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q325
True/False,Structured code is a benefit of inheritance.,True;False,TRUE,SA_P1_M1_Ch07_Pg096_1,SA_P1_M1_Q326
Blanks,The class _______ defines the properties and methods common to all its derived classes.,,Person,SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q327
Blanks,The method _______ is used to access the methods and properties of the parent class from the child class.,,super(),SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q328
Blanks,The child class _______ inherits all the properties and methods of the parent class.,,Student,SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q329
Match,Inheritance,The child class that inherits the properties and methods of the parent class;A method used to access the properties and methods of the parent class from the child class;The parent class that defines common properties and methods for all its derived classes;A mechanism that allows a class to inherit the properties and methods of another class,A mechanism that allows a class to inherit the properties and methods of another class,SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q330
Match,Person,The parent class that defines common properties and methods for all its derived classes;The child class that inherits the properties and methods of the parent class;A mechanism that allows a class to inherit the properties and methods of another class;A method used to access the properties and methods of the parent class from the child class,The parent class that defines common properties and methods for all its derived classes,SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q331
Match,Student,The child class that inherits the properties and methods of the parent class;The parent class that defines common properties and methods for all its derived classes;A method used to access the properties and methods of the parent class from the child class;A mechanism that allows a class to inherit the properties and methods of another class,The child class that inherits the properties and methods of the parent class,SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q332
Match,Super(),The child class that inherits the properties and methods of the parent class;A method used to access the properties and methods of the parent class from the child class;A mechanism that allows a class to inherit the properties and methods of another class;The parent class that defines common properties and methods for all its derived classes,A method used to access the properties and methods of the parent class from the child class,SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q333
MCQ,Which of the following is the correct syntax to define a parent class in Python?,class parent:;define Parent():;class Parent:;create Parent():,class Parent:,SA_P1_M1_Ch07_Pg098_1,SA_P1_M1_Q334
